location,capital,stock,start_month,days
北,1000000,0,4,237
北,1000000,0,4,242
北,100000,0,4,233
北,60000,0,4,239
中,100000,0,4,216
中,100000,0,4,222
北,200000,0,5,244
中,5000000,0,5,227
北,1000000,0,5,209
南,6000000,0,5,220
中,3000000,0,5,218
中,500000,0,5,220
中,2000000,0,5,227
中,960000,1,5,217
南,500000,0,5,205
中,500000,0,5,201
其他,0,1,5,210
中,500000,0,5,225
中,1000000,1,5,196
北,4000000,1,5,194
中,30000,0,5,214
中,2000000,0,5,194
北,500000,0,5,204
北,20000000,1,5,199
北,50000,0,5,192
北,2000000,0,5,215
北,3000000,0,6,183
中,110000,0,6,211
中,15000000,0,6,205
南,1300000,0,6,203
南,3000000,0,6,202
南,1000000,1,6,186
北,1000000,0,6,193
中,300000,0,6,202
南,1500000,0,6,175
中,1000000,0,6,176
南,200000,0,6,201
中,500000,0,6,183
南,100000,0,6,190
南,100000,0,6,191
中,800000,0,6,189
中,1000000,0,6,184
北,1000000,0,6,167
中,500000,0,6,191
其他,4000000,1,6,174
北,2000000,0,6,162
北,100000,0,6,162
北,7500000,1,6,188
中,1000000,0,7,180
北,1000000,0,7,169
北,2000000,0,7,162
北,1000000,0,7,168
北,2000000,0,7,171
中,500000,0,7,179
北,500000,1,7,176
中,500000,0,7,173
北,3500000,1,7,147
中,200000,0,7,157
北,25000000,1,7,161
北,1000000,1,7,148
中,1000000,0,7,142
北,1500000,0,7,159
北,3000000,0,7,147
北,30000000,1,7,155
北,1000000,0,7,152
北,1000000,1,7,139
北,200000,0,8,128
北,2000000,0,8,141
北,100000,1,8,148
北,1000000,0,8,147
北,500000,0,8,145
北,2000000,0,8,137
北,1000000,0,8,132
北,200000,0,8,111
中,500000,1,8,131
北,1000000,0,8,112
北,1600000,0,8,113
北,500000,0,8,132
北,1000000,0,8,100
北,100000,0,8,125
中,1000000,0,8,122
南,100000,0,9,92
中,200000,0,9,111
南,2000000,1,9,85
北,40000,1,9,103
北,1000000,0,9,112
中,200000,0,9,83
北,500000,0,9,89
南,2000000,0,9,78
中,2000000,1,9,87
南,1000000,0,9,102
北,1000000,0,9,92
北,2000000,1,9,84
北,1000000,0,9,99
北,1000000,0,9,89
北,1000000,1,9,99
南,60000,0,9,78
北,3000000,1,9,93
北,600000,0,9,91
南,1000000,0,10,60
南,1000000,0,10,85
北,6000000,1,10,81
北,100000,1,10,52
北,100000,0,10,65
南,3500000,0,10,56
南,1000000,0,10,41
北,500000,0,10,35
北,200000,0,10,53
北,5000000,0,10,60
北,300000,0,10,55
南,513000,0,11,56
北,4250000,0,11,39
中,600000,0,11,31
南,2000000,0,11,33
中,1000000,1,11,38
北,5000000,0,11,25
北,40000000,0,11,33
北,1000000,0,11,20
北,3000000,0,11,27
北,500000,0,11,15
